URL;Aanmaken;Account;Afhaalbalie;Afhalen;Afleveren;Bestel;Bestellen;Bestellingen;Betalen;Bevestiging;Bezorging;Categorieën;Filiaal;Filialen;Inloggen;Klanten;Kom langs;Koop;Kopen;Maten;Online warenhuis;Ontvangen;Openingstijden;Ophalen;Order;Product;Producten;Servers;Showroom;Thuiswinkel;Verkooppunt;Versturen;Verzenden;Verzending;Verzendkosten;Vestiging;Vestigingen;Wachtwoord;Winkel;Winkelmand;Winkels;Winkelwagen;Zaterdag;Zoeken;WordCount;PageCount
http://www.online-shoppen-nederland.nl;0;61;0;0;0;27;17;0;1;0;0;0;0;0;0;8;0;26;60;5;0;64;2;1;676;129;72;3;0;0;0;3;61;0;0;0;0;0;819;63;275;0;61;12;119038;121
http://www.onlinemakeup.nl;3;1264;0;2;0;906;117;10;1294;8;1258;0;0;0;627;3147;0;3937;715;2;0;7;0;1;5;6957;2952;1;0;0;0;26;5;1303;625;8;0;636;9245;3;7;7306;5;1263;1209400;624
http://www.otto.nl;57;455;0;117;28;2334;392;81;922;40;82;0;0;0;179;505;0;251;80;153;0;220;38;173;283;1545;669;0;0;164;0;38;0;646;100;45;21;193;635;0;27;291;19;72;267545;83
http://www.parfumswinkel.nl;1;739;0;1;11;2365;521;13;1000;2;6;0;3;0;984;1022;0;410;217;2;0;24;489;493;997;2856;1401;0;0;1255;1;0;9;504;258;5;0;744;5300;261;256;244;1;26;740315;244
http://www.raamtekening.nl;0;0;0;0;0;336;42;0;1;1;0;0;0;0;84;0;0;50;4;0;0;0;0;0;2;100;11;0;0;0;0;1;0;0;4;1;0;0;306;0;0;172;0;47;14945;43
http://www.realdutchfood.com;0;240;0;0;0;1739;1326;9;129;0;0;0;0;0;117;240;0;47;11;0;0;3;0;0;336;5044;4832;0;0;0;0;8;244;8;479;0;0;234;296;6;0;276;0;153;346569;118
http://www.reisartikelen.nl;0;548;0;0;0;693;0;0;0;0;0;0;0;0;137;959;0;0;0;0;0;0;274;274;411;2329;822;0;0;0;0;0;137;145;0;0;0;685;959;0;0;548;0;133;257864;137
http://www.rentalcars.com;2;5094;0;2;121;1;0;0;18;5;0;0;0;0;4;234;0;33;6;5;0;3;52;33;17429;30;3;1;0;0;0;2;0;0;0;5;0;375;8;0;1;0;83;17;1540113;118
http://www.sieradenshop.nl;0;2;0;0;0;66;61;2;113;0;1;0;0;0;1;179;0;79;6;3;0;0;15;0;0;54;6;0;0;0;0;0;0;80;0;15;0;63;174;31;0;0;30;0;19219;46
http://www.simyo.nl;0;1;0;0;0;31;3;0;5;1;0;0;0;0;22;84;0;8;5;0;0;17;0;0;605;286;0;1;0;0;0;8;5;0;4;2;0;2;0;0;0;0;0;32;19856;25
